SITE_ID,EASTING,NORTHING,NOX,DATE_TIME_STR,date,day_of_year,month,hour,sunrise_dt,sunset_dt,hour_start,hour_end,sun_multiplier,mean_wind_speed,mean_wind_dir,G_h_effective
672,358728.0,173520.0,35.0,2023-01-03 19:00:00,2023-01-03,3,1,19,2023-01-03 08:15:00,2023-01-03 16:14:00,2023-01-03 19:00:00,2023-01-03 20:00:00,0.0,12.0,200.0,0.0
672,358728.0,173520.0,34.0,2023-01-03 20:00:00,2023-01-03,3,1,20,2023-01-03 08:15:00,2023-01-03 16:14:00,2023-01-03 20:00:00,2023-01-03 21:00:00,0.0,12.0,210.0,0.0
672,358728.0,173520.0,21.0,2023-01-03 21:00:00,2023-01-03,3,1,21,2023-01-03 08:15:00,2023-01-03 16:14:00,2023-01-03 21:00:00,2023-01-03 22:00:00,0.0,13.0,220.0,0.0
672,358728.0,173520.0,14.0,2023-01-03 22:00:00,2023-01-03,3,1,22,2023-01-03 08:15:00,2023-01-03 16:14:00,2023-01-03 22:00:00,2023-01-03 23:00:00,0.0,13.0,210.0,0.0
672,358728.0,173520.0,12.0,2023-01-03 23:00:00,2023-01-03,3,1,23,2023-01-03 08:15:00,2023-01-03 16:14:00,2023-01-03 23:00:00,2023-01-04 00:00:00,0.0,13.0,210.0,0.0
672,358728.0,173520.0,6.0,2023-01-04 00:00:00,2023-01-04,4,1,0,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 00:00:00,2023-01-04 01:00:00,0.0,14.0,220.0,0.0
672,358728.0,173520.0,5.0,2023-01-04 01:00:00,2023-01-04,4,1,1,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 01:00:00,2023-01-04 02:00:00,0.0,12.0,210.0,0.0
672,358728.0,173520.0,4.0,2023-01-04 02:00:00,2023-01-04,4,1,2,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 02:00:00,2023-01-04 03:00:00,0.0,13.0,210.0,0.0
672,358728.0,173520.0,4.0,2023-01-04 03:00:00,2023-01-04,4,1,3,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 03:00:00,2023-01-04 04:00:00,0.0,12.0,210.0,0.0
672,358728.0,173520.0,3.0,2023-01-04 04:00:00,2023-01-04,4,1,4,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 04:00:00,2023-01-04 05:00:00,0.0,13.0,220.0,0.0
672,358728.0,173520.0,3.0,2023-01-04 05:00:00,2023-01-04,4,1,5,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 05:00:00,2023-01-04 06:00:00,0.0,16.0,230.0,0.0
672,358728.0,173520.0,8.0,2023-01-04 06:00:00,2023-01-04,4,1,6,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 06:00:00,2023-01-04 07:00:00,0.0,17.0,240.0,0.0
672,358728.0,173520.0,19.0,2023-01-04 07:00:00,2023-01-04,4,1,7,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 07:00:00,2023-01-04 08:00:00,0.0,17.0,230.0,0.0
672,358728.0,173520.0,29.0,2023-01-04 08:00:00,2023-01-04,4,1,8,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 08:00:00,2023-01-04 09:00:00,0.75,18.0,240.0,8.217320098713485e-15
672,358728.0,173520.0,35.0,2023-01-04 09:00:00,2023-01-04,4,1,9,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 09:00:00,2023-01-04 10:00:00,1.0,19.0,240.0,2.6885181977318932e-15
672,358728.0,173520.0,38.0,2023-01-04 10:00:00,2023-01-04,4,1,10,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 10:00:00,2023-01-04 11:00:00,1.0,18.0,240.0,1.0956426798284648e-14
672,358728.0,173520.0,36.0,2023-01-04 11:00:00,2023-01-04,4,1,11,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 11:00:00,2023-01-04 12:00:00,1.0,22.0,240.0,2.518785214314012e-17
672,358728.0,173520.0,33.0,2023-01-04 12:00:00,2023-01-04,4,1,12,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 12:00:00,2023-01-04 13:00:00,1.0,23.0,240.0,4.561780139415851e-18
672,358728.0,173520.0,35.0,2023-01-04 13:00:00,2023-01-04,4,1,13,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 13:00:00,2023-01-04 14:00:00,1.0,20.0,240.0,6.114782240849907e-16
672,358728.0,173520.0,29.0,2023-01-04 14:00:00,2023-01-04,4,1,14,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 14:00:00,2023-01-04 15:00:00,1.0,20.0,240.0,6.114782240849907e-16
672,358728.0,173520.0,38.0,2023-01-04 15:00:00,2023-01-04,4,1,15,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 15:00:00,2023-01-04 16:00:00,1.0,20.0,240.0,6.114782240849907e-16
672,358728.0,173520.0,41.0,2023-01-04 16:00:00,2023-01-04,4,1,16,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 16:00:00,2023-01-04 17:00:00,0.25,19.0,240.0,6.721295494329733e-16
672,358728.0,173520.0,40.0,2023-01-04 17:00:00,2023-01-04,4,1,17,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 17:00:00,2023-01-04 18:00:00,0.0,19.0,240.0,0.0
672,358728.0,173520.0,41.0,2023-01-04 18:00:00,2023-01-04,4,1,18,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 18:00:00,2023-01-04 19:00:00,0.0,17.0,240.0,0.0
672,358728.0,173520.0,40.0,2023-01-04 19:00:00,2023-01-04,4,1,19,2023-01-04 08:15:00,2023-01-04 16:15:00,2023-01-04 19:00:00,2023-01-04 20:00:00,0.0,16.0,240.0,0.0
