,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_VOLUME
5473,26614927,359549.26,173519.21,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.37,deciduous,571.1077646350903
5474,26614928,359554.94,173464.57,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.37,deciduous,571.1077646350903
5488,26614942,358609.58,172792.65,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.31,deciduous,66.66666666666666
5619,26615076,358926.67,173044.49,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.43,deciduous,520.4333333333333
5632,26615089,358902.53,173064.07,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.73,deciduous,1600.5333333333333
5633,26615090,358911.52,173071.83,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.61,deciduous,3300.6000000000004
5634,26615091,358920.63,173074.66,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.76,deciduous,1800.6
5639,26615096,358930.11,173054.95,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.43,deciduous,1400.4666666666667
5951,26615410,361109.23,170145.69,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
5953,26615412,361142.94,170168.2,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
5955,26615414,361134.09,170161.42,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
5958,26615417,361125.89,170157.18,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
5960,26615419,361162.08,170155.69,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.08,deciduous,9.728948461019652
5963,26615422,361119.55,170128.97,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.08,deciduous,9.728948461019652
5965,26615424,361146.24,170146.14,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.08,deciduous,9.728948461019652
5966,26615425,361118.99,170151.65,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,0.08,deciduous,9.728948461019652
5968,26615427,361103.95,170118.15,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.08,deciduous,9.728948461019652
